Project_ID,Category,total_spend,total_approved_budget,variance,status
P008,"Carpentry & Millwork",228000.00,210000.00,-18000.00,"Over Budget"
P005,"MEP - Mechanical",182000.00,165000.00,-17000.00,"Over Budget"
P008,"MEP - Mechanical",212000.00,195000.00,-17000.00,"Over Budget"
P008,Finishes,295000.00,280000.00,-15000.00,"Over Budget"
P003,Finishes,495000.00,480000.00,-15000.00,"Over Budget"
P005,"Carpentry & Millwork",158000.00,145000.00,-13000.00,"Over Budget"
P008,"MEP - Electrical",188000.00,175000.00,-13000.00,"Over Budget"
P005,"MEP - Electrical",148000.00,135000.00,-13000.00,"Over Budget"
P003,"Roofing & Waterproofing",158000.00,145000.00,-13000.00,"Over Budget"
P008,Concrete,195000.00,185000.00,-10000.00,"Over Budget"
P006,"General Conditions",248000.00,240000.00,-8000.00,"Over Budget"
P005,Finishes,213000.00,205000.00,-8000.00,"Over Budget"
P005,Concrete,132000.00,125000.00,-7000.00,"Over Budget"
P003,"MEP - Electrical",192000.00,185000.00,-7000.00,"Over Budget"
P003,"General Conditions",124000.00,120000.00,-4000.00,"Over Budget"
P008,"General Conditions",118000.00,115000.00,-3000.00,"Over Budget"
P002,"MEP - Mechanical",366000.00,365000.00,-1000.00,"Over Budget"
P006,"Site Work",298000.00,310000.00,12000.00,"At Risk"
P006,Concrete,462000.00,480000.00,18000.00,"At Risk"
P006,"MEP - Electrical",342000.00,360000.00,18000.00,"At Risk"
P006,"MEP - Mechanical",398000.00,420000.00,22000.00,"At Risk"
P003,Concrete,185000.00,210000.00,25000.00,"At Risk"
P003,"Site Work",62000.00,95000.00,33000.00,"At Risk"
P005,Contingency,0.00,55000.00,55000.00,"On Track"
P002,"General Conditions",68000.00,145000.00,77000.00,"On Track"
P003,Contingency,0.00,85000.00,85000.00,"On Track"
P006,"Steel & Structure",875000.00,965000.00,90000.00,"On Track"
P008,Contingency,0.00,95000.00,95000.00,"On Track"
P005,"General Conditions",0.00,95000.00,95000.00,"On Track"
P001,"MEP - Plumbing",213000.00,310000.00,97000.00,"On Track"
P002,Contingency,0.00,105000.00,105000.00,"On Track"
P002,Finishes,405000.00,510000.00,105000.00,"On Track"
P001,Contingency,0.00,110000.00,110000.00,"On Track"
P003,"Carpentry & Millwork",198000.00,335000.00,137000.00,"On Track"
P006,Contingency,0.00,145000.00,145000.00,"On Track"
P002,"MEP - Electrical",142000.00,290000.00,148000.00,"On Track"
P001,"Site Work",48000.00,197000.00,149000.00,"On Track"
P002,"Carpentry & Millwork",125000.00,280000.00,155000.00,"On Track"
P001,"MEP - Mechanical",383000.00,540000.00,157000.00,"On Track"
P001,"MEP - Electrical",337000.00,498000.00,161000.00,"On Track"
P001,Finishes,249000.00,420000.00,171000.00,"On Track"
P004,"Site Work",303500.00,485000.00,181500.00,"On Track"
P004,Masonry,195000.00,380000.00,185000.00,"On Track"
P001,"General Conditions",58000.00,295000.00,237000.00,"On Track"
P007,"Site Work",325000.00,580000.00,255000.00,"On Track"
P001,Concrete,355000.00,620000.00,265000.00,"On Track"
P001,"Steel & Structure",595000.00,925000.00,330000.00,"On Track"
P004,"General Conditions",125000.00,480000.00,355000.00,"On Track"
P007,Concrete,875000.00,1250000.00,375000.00,"On Track"
P007,Contingency,0.00,380000.00,380000.00,"On Track"
P004,Concrete,800000.00,1180000.00,380000.00,"On Track"
P004,Contingency,0.00,380000.00,380000.00,"On Track"
P007,"MEP - Electrical",265000.00,710000.00,445000.00,"On Track"
P007,"MEP - Plumbing",0.00,480000.00,480000.00,"On Track"
P007,"General Conditions",0.00,480000.00,480000.00,"On Track"
P007,"MEP - Mechanical",285000.00,820000.00,535000.00,"On Track"
P007,"Steel & Structure",1400000.00,1980000.00,580000.00,"On Track"
P004,"Steel & Structure",1300000.00,1970000.00,670000.00,"On Track"
P007,Finishes,0.00,950000.00,950000.00,"On Track"
